iter	Passed	Remaining
1076	17483	23100
1077	17508	23095
1078	17535	23093
1079	17562	23091
1080	17589	23089
1081	17616	23086
1082	17647	23090
1083	17678	23092
1084	17709	23095
1085	17740	23099
1086	17768	23097
1087	17799	23099
1088	17829	23101
1089	17858	23101
1090	17884	23097
1091	17903	23083
1092	17928	23079
1093	17954	23075
1094	17976	23066
1095	17994	23051
1096	18021	23047
1097	18046	23043
1098	18073	23039
1099	18100	23037
1100	18123	23028
1101	18151	23027
1102	18178	23023
1103	18204	23019
1104	18230	23015
1105	18257	23012
1106	18269	22989
1107	18296	22985
1108	18323	22982
1109	18348	22977
1110	18374	22971
1111	18396	22962
1112	18421	22956
1113	18447	22951
1114	18473	22946
1115	18498	22940
1116	18525	22936
1117	18551	22931
1118	18581	22932
1119	18607	22926
1120	18633	22922
1121	18669	22929
1122	18697	22926
1123	18715	22911
1124	18730	22893
1125	18756	22887
1126	18781	22881
1127	18808	22877
1128	18835	22872
1129	18863	22869
1130	18889	22864
1131	18914	22858
1132	18941	22853
1133	18968	22848
1134	18998	22848
1135	19026	22845
1136	19052	22838
1137	19077	22833
1138	19093	22814
1139	19119	22809
1140	19145	22803
1141	19170	22796
1142	19201	22796
1143	19228	22792
1144	19254	22786
1145	19281	22780
1146	19308	22776
1147	19334	22770
1148	19362	22766
1149	19388	22760
1150	19415	22755
1151	19443	22752
1152	19501	22782
1153	19536	22786
1154	19562	22780
1155	19589	22775
1156	19623	22778
1157	19646	22767
1158	19676	22766
1159	19702	22760
1160	19728	22753
1161	19760	22753
1162	19790	22750
1163	19818	22747
1164	19845	22740
1165	19871	22734
1166	19897	22727
1167	19928	22726
1168	19959	22725
1169	19986	22719
1170	20004	22703
1171	20021	22685
1172	20046	22678
1173	20078	22677
1174	20093	22658
1175	20118	22650
1176	20147	22646
1177	20165	22630
1178	20191	22623
1179	20219	22618
1180	20234	22598
1181	20259	22590
1182	20286	22584
1183	20311	22576
1184	20337	22568
1185	20364	22562
1186	20390	22554
1187	20415	22546
1188	20443	22540
1189	20468	22532
1190	20495	22525
1191	20521	22518
1192	20551	22515
1193	20577	22507
1194	20606	22503
1195	20637	22500
1196	20663	22493
1197	20692	22488
1198	20720	22483
1199	20747	22476
1200	20773	22468
1201	20802	22463
1202	20829	22456
1203	20854	22448
1204	20881	22440
1205	20908	22433
1206	20935	22427
1207	20963	22420
1208	20979	22402
1209	21005	22394
1210	21020	22374
1211	21045	22365
1212	21070	22356
1213	21097	22348
1214	21124	22341
1215	21150	22333
1216	21181	22329
1217	21208	22322
1218	21235	22315
1219	21262	22307
1220	21289	22300
1221	21316	22292
1222	21345	22287
1223	21370	22278
1224	21400	22273
1225	21427	22266
1226	21454	22259
1227	21472	22242
1228	21510	22245
1229	21548	22248
1230	21584	22251
1231	21623	22255
1232	21656	22254
1233	21683	22245
1234	21710	22238
1235	21741	22233
1236	21767	22224
1237	21795	22217
1238	21821	22208
1239	21846	22198
1240	21873	22190
1241	21899	22181
1242	21925	22172
1243	21951	22163
1244	21977	22154
1245	22003	22144
1246	22021	22127
1247	22040	22111
1248	22066	22101
1249	22092	22092
1250	22107	22072
1251	22136	22065
1252	22163	22057
1253	22178	22036
1254	22203	22026
1255	22229	22017
1256	22255	22008
1257	22281	21997
1258	22306	21987
1259	22331	21977
1260	22356	21966
1261	22382	21956
1262	22409	21948
1263	22436	21939
1264	22462	21929
1265	22488	21919
1266	22515	21910
1267	22544	21904
1268	22570	21894
1269	22600	21888
1270	22630	21882
1271	22656	21872
1272	22674	21855
1273	22701	21846
1274	22727	21835
1275	22757	21830
1276	22785	21822
1277	22814	21815
1278	22841	21805
1279	22858	21787
1280	22885	21777
1281	22903	21760
1282	22932	21753
1283	22960	21744
1284	22986	21734
1285	23013	21724
1286	23038	21714
1287	23064	21703
1288	23092	21694
1289	23117	21684
1290	23143	21673
1291	23169	21663
1292	23202	21659
1293	23232	21652
1294	23250	21634
1295	23275	21623
1296	23301	21612
1297	23316	21591
1298	23343	21582
1299	23369	21571
1300	23395	21561
1301	23410	21540
1302	23436	21529
1303	23461	21518
1304	23484	21504
1305	23498	21483
1306	23516	21465
1307	23542	21454
1308	23572	21447
1309	23604	21442
1310	23631	21432
1311	23657	21421
1312	23678	21406
1313	23703	21394
1314	23732	21386
1315	23757	21374
1316	23789	21369
1317	23816	21359
1318	23838	21344
1319	23863	21332
1320	23889	21321
1321	23916	21311
1322	23942	21300
1323	23969	21290
1324	23995	21279
1325	24021	21268
1326	24048	21257
1327	24074	21246
1328	24099	21234
1329	24126	21224
1330	24144	21206
1331	24159	21184
1332	24188	21175
1333	24214	21164
1334	24241	21154
1335	24269	21145
1336	24299	21137
1337	24323	21124
1338	24354	21116
1339	24383	21108
1340	24408	21095
1341	24436	21086
1342	24464	21076
1343	24491	21065
1344	24517	21054
1345	24543	21042
1346	24573	21034
1347	24606	21028
1348	24633	21017
1349	24650	20998
1350	24675	20986
1351	24701	20974
1352	24716	20953
1353	24741	20940
1354	24762	20924
1355	24789	20914
1356	24817	20903
1357	24832	20882
1358	24857	20869
1359	24883	20858
1360	24910	20847
1361	24935	20834
1362	24961	20822
1363	24988	20811
1364	25014	20799
1365	25040	20787
1366	25069	20777
1367	25094	20765
1368	25121	20754
1369	25136	20733
1370	25161	20720
1371	25178	20700
1372	25201	20686
1373	25220	20668
1374	25245	20655
1375	25272	20644
1376	25299	20632
1377	25325	20620
1378	25349	20607
1379	25375	20594
1380	25401	20582
1381	25427	20570
1382	25453	20558
1383	25483	20548
1384	25501	20530
1385	25528	20518
1386	25554	20506
1387	25588	20500
1388	25615	20488
1389	25633	20469
1390	25650	20450
1391	25676	20438
1392	25694	20419
1393	25719	20405
1394	25745	20393
1395	25772	20381
1396	25790	20363
1397	25817	20351
1398	25844	20339
1399	25870	20327
1400	25897	20314
1401	25926	20305
1402	25957	20296
1403	25978	20279
1404	26004	20266
1405	26031	20254
1406	26057	20242
1407	26083	20229
1408	26109	20216
1409	26136	20204
1410	26162	20192
1411	26188	20178
1412	26213	20165
1413	26239	20153
1414	26265	20140
1415	26291	20127
1416	26319	20116
1417	26347	20104
1418	26373	20091
1419	26400	20079
1420	26427	20067
1421	26453	20053
1422	26481	20042
1423	26507	20029
1424	26532	20016
1425	26560	20004
1426	26594	19997
1427	26622	19985
1428	26648	19972
1429	26673	19958
1430	26700	19945
1431	26728	19934
1432	26756	19922
1433	26782	19909
1434	26808	19896
1435	26835	19883
1436	26864	19872
1437	26890	19859
1438	26917	19846
1439	26942	19832
1440	26963	19815
1441	26985	19799
1442	27011	19785
1443	27037	19772
1444	27063	19758
1445	27088	19744
1446	27115	19732
1447	27141	19718
1448	27167	19705
1449	27201	19697
1450	27228	19684
1451	27254	19671
1452	27281	19658
1453	27306	19644
1454	27332	19630
1455	27359	19617
1456	27386	19604
1457	27413	19591
1458	27438	19577
1459	27464	19563
1460	27490	19550
1461	27516	19536
1462	27530	19514
1463	27558	19501
1464	27589	19491
1465	27617	19478
1466	27645	19466
1467	27670	19452
1468	27697	19439
1469	27724	19426
1470	27753	19413
1471	27779	19400
1472	27806	19387
1473	27831	19372
1474	27857	19358
1475	27886	19346
1476	27912	19333
1477	27938	19319
1478	27965	19305
1479	27991	19291
1480	28008	19271
1481	28035	19257
1482	28063	19245
1483	28089	19231
1484	28115	19217
1485	28141	19203
1486	28160	19183
1487	28186	19169
1488	28211	19154
1489	28238	19141
1490	28259	19124
1491	28277	19104
